#,Taxonomy,Class,Template Name,File Folder,Filename,Image,Tag,Mask,Resolution,Top,Left,Width,Height,Points,Text Annotation,Minimal Top,Minimal Left,Minimal Width,Minimal Height,Attributes
11,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_42LqRrM2w8AFb4Mcq.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_42LqRrM2w8AFb4Mcq.png,1800x1779,122,77,776,1230,,"undefined",122,77,776,1230,
12,,"COVID-19 Pleural Effusion","Pleural Effusion",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_6TLY7mKn7bthHDPcC.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_6TLY7mKn7bthHDPcC.png,1800x1779,1515,1468,176,121,,"undefined",1515,1468,176,121,
13,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg",images/5dd01193f29f055aa32940e55df20ea6047d0f28.jpg,tags/5dd01193f29f055aa32940e55df20ea6047d0f28_PG8ynxjAAwmXuppJ7.png,masks/5dd01193f29f055aa32940e55df20ea6047d0f28_PG8ynxjAAwmXuppJ7.png,1800x1522,0,795,378,885,,"undefined",0,795,378,885,
14,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg",images/5dd01193f29f055aa32940e55df20ea6047d0f28.jpg,tags/5dd01193f29f055aa32940e55df20ea6047d0f28_wobMGbjTiKhc2hppp.png,masks/5dd01193f29f055aa32940e55df20ea6047d0f28_wobMGbjTiKhc2hppp.png,1800x1522,476,636,863,929,,"undefined",476,636,863,929,
15,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg",images/5dd01193f29f055aa32940e55df20ea6047d0f28.jpg,tags/5dd01193f29f055aa32940e55df20ea6047d0f28_uKhDHsWpgry4F4LS3.png,masks/5dd01193f29f055aa32940e55df20ea6047d0f28_uKhDHsWpgry4F4LS3.png,1800x1522,438,54,1703,1006,,"undefined",438,54,1703,1006,
16,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg",images/5dd01193f29f055aa32940e55df20ea6047d0f28.jpg,tags/5dd01193f29f055aa32940e55df20ea6047d0f28_y9h9o7A8LwKB3Hip9.png,masks/5dd01193f29f055aa32940e55df20ea6047d0f28_y9h9o7A8LwKB3Hip9.png,1800x1522,210,1030,716,1210,,"undefined",210,1030,716,1210,
17,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg",images/5dd01193f29f055aa32940e55df20ea6047d0f28.jpg,tags/5dd01193f29f055aa32940e55df20ea6047d0f28_QukXFFrQRucCwp8Xd.png,masks/5dd01193f29f055aa32940e55df20ea6047d0f28_QukXFFrQRucCwp8Xd.png,1800x1522,178,9,890,1247,,"undefined",178,9,890,1247,
18,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg",images/ba8169cfd90308781fd0b105cdd70343adb44299.jpg,tags/ba8169cfd90308781fd0b105cdd70343adb44299_sLqxAEQsLdBtFug7Y.png,masks/ba8169cfd90308781fd0b105cdd70343adb44299_sLqxAEQsLdBtFug7Y.png,1750x1800,0,671,314,889,,"undefined",0,671,314,889,
19,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg",images/ba8169cfd90308781fd0b105cdd70343adb44299.jpg,tags/ba8169cfd90308781fd0b105cdd70343adb44299_LR2Jy3WwCjH3F2shg.png,masks/ba8169cfd90308781fd0b105cdd70343adb44299_LR2Jy3WwCjH3F2shg.png,1750x1800,470,608,843,1233,,"undefined",470,608,843,1233,
20,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg",images/ba8169cfd90308781fd0b105cdd70343adb44299.jpg,tags/ba8169cfd90308781fd0b105cdd70343adb44299_94ov8kDs4YosEhCok.png,masks/ba8169cfd90308781fd0b105cdd70343adb44299_94ov8kDs4YosEhCok.png,1750x1800,324,78,1577,1389,,"undefined",324,78,1577,1389,
21,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg",images/ba8169cfd90308781fd0b105cdd70343adb44299.jpg,tags/ba8169cfd90308781fd0b105cdd70343adb44299_ScuvbFhtnuXzMT3yf.png,masks/ba8169cfd90308781fd0b105cdd70343adb44299_ScuvbFhtnuXzMT3yf.png,1750x1800,78,888,824,1684,,"undefined",78,888,824,1684,
22,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg",images/ba8169cfd90308781fd0b105cdd70343adb44299.jpg,tags/ba8169cfd90308781fd0b105cdd70343adb44299_9iDTNS2YMrRcXFAaQ.png,masks/ba8169cfd90308781fd0b105cdd70343adb44299_9iDTNS2YMrRcXFAaQ.png,1750x1800,125,43,784,1442,,"undefined",125,43,784,1442,
23,,"COVID-19 Airways","Airways",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_x7oYBZgkweBMyJBMa.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_x7oYBZgkweBMyJBMa.png,1175x1332,3,504,184,564,,"undefined",3,504,184,564,
24,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_GcgpSgANgQBjb9Trd.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_GcgpSgANgQBjb9Trd.png,1175x1332,331,408,555,666,,"undefined",331,408,555,666,
25,,"COVID-19 Consolidation","Consolidation",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_ieuSfWoS3B5Luajwa.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_ieuSfWoS3B5Luajwa.png,1175x1332,263,106,956,702,,"undefined",263,106,956,702,
26,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_PckWTkH9GoiqmNLhY.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_PckWTkH9GoiqmNLhY.png,1175x1332,80,638,443,971,,"undefined",80,638,443,971,
27,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_RnzKhkTRNX9DmqCPp.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_RnzKhkTRNX9DmqCPp.png,1175x1332,323,222,774,566,,"undefined",323,222,774,566,
28,,"COVID-19 Right Lung","Right Lung",,"ryct.2020200034.fig5-day4.jpeg",images/c7370a836eed5a487d67b7ca1bc27d238006b0ec.jpg,tags/c7370a836eed5a487d67b7ca1bc27d238006b0ec_rusLgtummBDzHJhLo.png,masks/c7370a836eed5a487d67b7ca1bc27d238006b0ec_rusLgtummBDzHJhLo.png,1175x1332,71,70,473,876,,"undefined",71,70,473,876,
29,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_qqaetYdZ6CBTiKnqK.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_qqaetYdZ6CBTiKnqK.png,1800x1546,0,715,308,693,,"undefined",0,715,308,693,
30,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_qRitDmKNQvLGivAZS.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_qRitDmKNQvLGivAZS.png,1800x1546,322,572,853,1005,,"undefined",322,572,853,1005,
31,,"COVID-19 Central Venous Line","Central Venous Line",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_f2pHKi3pP2eLyhzgm.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_f2pHKi3pP2eLyhzgm.png,1800x1546,63,0,687,321,,"undefined",63,0,687,321,
32,,"COVID-19 Endotracheal Tube","Endotracheal Tube",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_pg8vJH43xQX7nAqKL.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_pg8vJH43xQX7nAqKL.png,1800x1546,0,830,94,213,,"undefined",0,830,94,213,
33,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_wBeFe5hxCLYnCT6Mh.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_wBeFe5hxCLYnCT6Mh.png,1800x1546,100,62,1659,1303,,"undefined",100,62,1659,1303,
34,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_WNB4XHANx5KAWprGS.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_WNB4XHANx5KAWprGS.png,1800x1546,0,990,745,1434,,"undefined",0,990,745,1434,
35,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_r4dB4sxSpg72TgdyY.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_r4dB4sxSpg72TgdyY.png,1800x1546,65,11,796,1174,,"undefined",65,11,796,1174,
36,,"COVID-19 Tubings","Tubings",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg",images/57af7547bae1827c0aa1374885808eb876dc5b6f.jpg,tags/57af7547bae1827c0aa1374885808eb876dc5b6f_62MW2zDQFtvKC4qaN.png,masks/57af7547bae1827c0aa1374885808eb876dc5b6f_62MW2zDQFtvKC4qaN.png,1800x1546,132,620,1180,1032,,"undefined",132,620,1180,1032,
37,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_PSpYL6ZawQqRWWKGw.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_PSpYL6ZawQqRWWKGw.png,1800x1546,0,693,407,828,,"undefined",0,693,407,828,
38,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_wZksjZd4HxDHCsgvY.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_wZksjZd4HxDHCsgvY.png,1800x1546,398,604,823,987,,"undefined",398,604,823,987,
39,,"COVID-19 Consolidation","Consolidation",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_cPnHdGS7L2z5xDd83.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_cPnHdGS7L2z5xDd83.png,1800x1546,316,87,1634,1115,,"undefined",316,87,1634,1115,
40,,"COVID-19 Endotracheal Tube","Endotracheal Tube",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_PH8BDEEue9r9hR2Hp.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_PH8BDEEue9r9hR2Hp.png,1800x1546,0,860,165,410,,"undefined",0,860,165,410,
41,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_2w5oSRHn8KuZbebWW.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_2w5oSRHn8KuZbebWW.png,1800x1546,206,80,1635,1197,,"undefined",206,80,1635,1197,
42,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_CxQ2XFTNEk7ihk8G8.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_CxQ2XFTNEk7ihk8G8.png,1800x1546,124,994,748,1322,,"undefined",124,994,748,1322,
43,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_vHPSKkw3EsdwX6Aro.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_vHPSKkw3EsdwX6Aro.png,1800x1546,91,11,830,1094,,"undefined",91,11,830,1094,
44,,"COVID-19 Monitoring Probes","Monitoring Probes",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_qKkxr4xqw565Ark4p.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_qKkxr4xqw565Ark4p.png,1800x1546,687,0,1800,572,,"undefined",687,0,1800,572,
45,,"COVID-19 Central Venous Line","Central Venous Line",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg",images/ec8eba5a097ef9faf1099613fd52f8e1169e08c0.jpg,tags/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_bPnj867WHb9CK9tbJ.png,masks/ec8eba5a097ef9faf1099613fd52f8e1169e08c0_bPnj867WHb9CK9tbJ.png,1800x1546,143,0,737,290,,"undefined",143,0,737,290,
46,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg",images/65de0451a16ec77bafd14662874f1c7a7086dce0.jpg,tags/65de0451a16ec77bafd14662874f1c7a7086dce0_ZQ6apKdmumH44f77g.png,masks/65de0451a16ec77bafd14662874f1c7a7086dce0_ZQ6apKdmumH44f77g.png,1772x1800,440,718,573,973,,"undefined",440,718,573,973,
47,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg",images/65de0451a16ec77bafd14662874f1c7a7086dce0.jpg,tags/65de0451a16ec77bafd14662874f1c7a7086dce0_BSvBkYYNHM7seTHvW.png,masks/65de0451a16ec77bafd14662874f1c7a7086dce0_BSvBkYYNHM7seTHvW.png,1772x1800,0,745,266,788,,"undefined",0,745,266,788,
48,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg",images/65de0451a16ec77bafd14662874f1c7a7086dce0.jpg,tags/65de0451a16ec77bafd14662874f1c7a7086dce0_La346RkCE3s98yMTJ.png,masks/65de0451a16ec77bafd14662874f1c7a7086dce0_La346RkCE3s98yMTJ.png,1772x1800,928,180,1419,543,,"undefined",928,180,1419,543,
49,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg",images/65de0451a16ec77bafd14662874f1c7a7086dce0.jpg,tags/65de0451a16ec77bafd14662874f1c7a7086dce0_tzrJB38LJrjEdcxBS.png,masks/65de0451a16ec77bafd14662874f1c7a7086dce0_tzrJB38LJrjEdcxBS.png,1772x1800,105,944,756,1503,,"undefined",105,944,756,1503,
50,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg",images/65de0451a16ec77bafd14662874f1c7a7086dce0.jpg,tags/65de0451a16ec77bafd14662874f1c7a7086dce0_rFhz29Nd3KX8aYgL8.png,masks/65de0451a16ec77bafd14662874f1c7a7086dce0_rFhz29Nd3KX8aYgL8.png,1772x1800,129,83,760,1532,,"undefined",129,83,760,1532,
51,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_uFMZBBrMJoiTgvruL.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_uFMZBBrMJoiTgvruL.png,1692x1474,0,627,380,781,,"undefined",0,627,380,781,
52,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_sNDYp2LTePtvMnByQ.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_sNDYp2LTePtvMnByQ.png,1692x1474,406,626,811,917,,"undefined",406,626,811,917,
53,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_K8PAdsjRjfcQKZHxW.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_K8PAdsjRjfcQKZHxW.png,1692x1474,182,18,1655,1165,,"undefined",182,18,1655,1165,
54,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_mSZXXf2H5vA9QgsXx.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_mSZXXf2H5vA9QgsXx.png,1692x1474,116,946,696,1160,,"undefined",116,946,696,1160,
55,,"COVID-19 Right Lung","Right Lung",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_zeJdZiP2HprJcAbyo.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_zeJdZiP2HprJcAbyo.png,1692x1474,144,22,755,1083,,"undefined",144,22,755,1083,
56,,"COVID-19 Endotracheal Tube","Endotracheal Tube",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_S3msG8cH32C5QB75F.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_S3msG8cH32C5QB75F.png,1692x1474,0,730,269,624,,"undefined",0,730,269,624,
57,,"COVID-19 Monitoring Probes","Monitoring Probes",,"SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg",images/b79444ad26a9f2099c672d5f2caa1026d36d5303.jpg,tags/b79444ad26a9f2099c672d5f2caa1026d36d5303_Z4C7hnrmqhGtcqy76.png,masks/b79444ad26a9f2099c672d5f2caa1026d36d5303_Z4C7hnrmqhGtcqy76.png,1692x1474,0,205,1487,1060,,"undefined",0,205,1487,1060,
58,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg",images/d0aa6a43766db99b69b25030bdd0e0185307586a.jpg,tags/d0aa6a43766db99b69b25030bdd0e0185307586a_LqPaC5ZxWCF2J6wfS.png,masks/d0aa6a43766db99b69b25030bdd0e0185307586a_LqPaC5ZxWCF2J6wfS.png,1800x1593,0,739,289,758,,"undefined",0,739,289,758,
59,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg",images/d0aa6a43766db99b69b25030bdd0e0185307586a.jpg,tags/d0aa6a43766db99b69b25030bdd0e0185307586a_rJqXXJ48FqqduhnBN.png,masks/d0aa6a43766db99b69b25030bdd0e0185307586a_rJqXXJ48FqqduhnBN.png,1800x1593,461,692,869,997,,"undefined",461,692,869,997,
60,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg",images/d0aa6a43766db99b69b25030bdd0e0185307586a.jpg,tags/d0aa6a43766db99b69b25030bdd0e0185307586a_xWXMbg9MSTg4XWCdk.png,masks/d0aa6a43766db99b69b25030bdd0e0185307586a_xWXMbg9MSTg4XWCdk.png,1800x1593,0,926,758,1489,,"undefined",0,926,758,1489,
